Year,Adjusted_Total,Runtime(Mins),Censor,Total_Gross,main_genre,side_genre,dir_numeric,Rating,discrete
1989,159.0508201129336,127,1,197.17,6,3.0,138.73962962962963,8.2,1
2017,159.02850139472739,136,4,389.81,6,2.2,157.38000000000002,7.6,1
1970,158.91822279459114,172,1,61.7,1,5.9,44.656666666666666,7.9,1
2011,156.6601340362394,154,4,352.39,6,3.8,178.96230769230772,6.2,0
1997,156.17692866784344,98,4,250.69,6,2.2,130.02125,7.3,1
1977,155.44067097483844,118,1,94.21,5,0.5,55.62,6.8,1
1996,154.10902135798537,113,4,241.72,6,8.54,113.72999999999999,6.4,0
2007,153.9723541050653,144,4,319.25,6,3.8,178.96230769230772,7.0,1
2016,153.48463195436878,87,4,368.38,0,2.2,368.38,6.5,0
2010,153.25914732717126,108,1,334.19,3,7.1,105.07529411764706,6.4,0
2019,152.7552007259715,129,1,390.53,6,3.8,382.40250000000003,7.4,1
1993,151.73925584078455,125,1,219.2,2,5.0,119.69,7.1,1
2016,151.65971559636853,106,4,364.0,3,5.1,234.0025,7.4,1
2016,151.2722333559712,108,18,363.07,6,2.2,212.66,8.0,1
1988,151.19441899795646,133,1,178.8,5,5.0,55.821538461538466,8.0,1
1963,151.18367346938774,210,0,46.3,6,2.2,51.5,7.5,1
2000,151.0104529616725,104,1,260.04,2,7.1,95.35095238095236,6.2,0
1991,150.40567827204308,137,16,204.84,6,7.5,278.42571428571426,8.6,1
2007,149.2314042511803,169,4,309.42,6,3.7,152.93800000000002,7.1,1
2015,148.93868372310845,137,16,353.01,6,10.8,127.54222222222221,7.1,1
2005,148.5009601024109,157,4,290.01,3,7.1,91.27499999999999,7.7,1
1962,148.16528925619835,218,1,44.82,3,1.2,78.27,8.3,1
2014,147.8988212616436,133,16,350.13,6,1.2,62.776666666666664,7.3,1
2008,147.88959719464475,126,4,318.41,6,3.8,234.0025,7.9,1
2004,147.84787787876112,115,16,279.26,2,5.5,121.71333333333334,6.3,0
1987,147.66116611661167,102,1,167.78,2,5.1,117.98666666666668,6.1,0
2008,147.2811509387954,122,1,317.1,6,3.0,138.73962962962963,6.2,0
1979,146.41405442645538,105,1,106.26,5,5.0,55.82,7.8,1
2002,145.6511466296039,161,1,261.99,3,7.1,119.69,7.4,1
2010,143.2800365044679,124,4,312.43,6,3.8,234.0025,6.9,1
1997,142.72038209947047,129,4,229.09,6,3.8,138.73962962962963,6.5,0
1984,142.6311567463501,106,4,148.17,2,7.7,66.335,7.3,1
2014,142.4117002260604,123,4,337.14,6,3.8,211.64000000000001,6.6,1
1990,140.98603227246636,181,1,184.21,3,5.6,86.72333333333334,8.0,1
2007,140.829843065557,138,4,292.0,6,3.1,279.51800000000003,7.5,1
2009,140.74961428564768,153,4,301.96,6,3.1,279.51800000000003,7.6,1
2014,140.7389520119796,121,4,333.18,6,2.2,157.38000000000002,8.0,1
1985,139.8388596219399,96,0,150.42,6,8.54,99.72999999999999,6.5,0
