Year,Rating,Runtime(Mins),Censor,Total_Gross,main_genre,side_genre,dir_numeric,Adjusted_Total,discrete
2011,8.1,130,4,381.01,3,7.1,279.51800000000003,169.38357407743575,0
2017,7.4,141,4,412.56,6,3.7,164.46666666666667,168.30968557863764,0
1990,7.1,127,16,217.63,5,7.3,103.95,166.56419414503475,0
2018,6.1,128,4,417.72,6,3.8,111.91000000000001,166.35150643052987,0
2003,8.1,143,4,305.41,6,3.7,152.93800000000002,166.02129105322766,0
2017,6.9,119,4,404.52,6,2.2,153.25499999999997,165.02965389342276,0
1964,7.7,110,16,51.08,6,8.54,37.8125,164.6856528747985,0
1986,6.9,110,1,179.8,6,5.0,67.63933333333333,164.0386223675207,0
1978,6.3,114,16,106.0,6,2.0,76.1,162.49361267245783,0
2007,6.3,139,4,336.53,6,3.8,124.726,162.3063941330544,0
1986,6.6,97,1,174.64,6,2.2,174.64,159.3309511138143,0
1989,8.2,127,1,197.17,6,3.0,138.73962962962963,159.0508201129336,0
2017,7.6,136,4,389.81,6,2.2,157.38000000000002,159.02850139472739,0
1970,7.9,172,1,61.7,1,5.9,44.656666666666666,158.91822279459114,0
2011,6.2,154,4,352.39,6,3.8,178.96230769230772,156.6601340362394,0
1997,7.3,98,4,250.69,6,2.2,130.02125,156.17692866784344,0
1977,6.8,118,1,94.21,5,0.5,55.62,155.44067097483844,0
1996,6.4,113,4,241.72,6,8.54,113.72999999999999,154.10902135798537,0
2007,7.0,144,4,319.25,6,3.8,178.96230769230772,153.9723541050653,0
2016,6.5,87,4,368.38,0,2.2,368.38,153.48463195436878,0
2010,6.4,108,1,334.19,3,7.1,105.07529411764706,153.25914732717126,0
2019,7.4,129,1,390.53,6,3.8,382.40250000000003,152.7552007259715,0
1993,7.1,125,1,219.2,2,5.0,119.69,151.73925584078455,0
2016,7.4,106,4,364.0,3,5.1,234.0025,151.65971559636853,0
2016,8.0,108,18,363.07,6,2.2,212.66,151.2722333559712,0
1988,8.0,133,1,178.8,5,5.0,55.821538461538466,151.19441899795646,0
1963,7.5,210,0,46.3,6,2.2,51.5,151.18367346938774,0
2000,6.2,104,1,260.04,2,7.1,95.35095238095236,151.0104529616725,0
1991,8.6,137,16,204.84,6,7.5,278.42571428571426,150.40567827204308,0
2007,7.1,169,4,309.42,6,3.7,152.93800000000002,149.2314042511803,0
2015,7.1,137,16,353.01,6,10.8,127.54222222222221,148.93868372310845,0
2005,7.7,157,4,290.01,3,7.1,91.27499999999999,148.5009601024109,0
1962,8.3,218,1,44.82,3,1.2,78.27,148.16528925619835,0
2014,7.3,133,16,350.13,6,1.2,62.776666666666664,147.8988212616436,0
2008,7.9,126,4,318.41,6,3.8,234.0025,147.88959719464475,0
2004,6.3,115,16,279.26,2,5.5,121.71333333333334,147.84787787876112,0
1987,6.1,102,1,167.78,2,5.1,117.98666666666668,147.66116611661167,0
2008,6.2,122,1,317.1,6,3.0,138.73962962962963,147.2811509387954,0
1979,7.8,105,1,106.26,5,5.0,55.82,146.41405442645538,0
2002,7.4,161,1,261.99,3,7.1,119.69,145.6511466296039,0
2010,6.9,124,4,312.43,6,3.8,234.0025,143.2800365044679,0
1997,6.5,129,4,229.09,6,3.8,138.73962962962963,142.72038209947047,0
1984,7.3,106,4,148.17,2,7.7,66.335,142.6311567463501,0
2014,6.6,123,4,337.14,6,3.8,211.64000000000001,142.4117002260604,0
1990,8.0,181,1,184.21,3,5.6,86.72333333333334,140.98603227246636,0
2007,7.5,138,4,292.0,6,3.1,279.51800000000003,140.829843065557,0
2009,7.6,153,4,301.96,6,3.1,279.51800000000003,140.74961428564768,0
2014,8.0,121,4,333.18,6,2.2,157.38000000000002,140.7389520119796,0
1985,6.5,96,0,150.42,6,8.54,99.72999999999999,139.8388596219399,0
2019,6.9,128,1,355.56,3,2.1,91.25399999999999,139.07673973862808,0
2004,8.0,115,1,261.44,0,3.6,239.20400000000004,138.4134827494926,0
2009,4.7,130,4,296.62,3,5.8,157.115,138.2605331481283,0
1987,6.9,119,16,156.65,5,8.5,63.60142857142858,137.86578657865786,0
2010,5.0,124,4,300.53,6,5.2,113.70333333333332,137.82271027330196,0
2016,6.4,152,4,330.36,6,3.8,146.73777777777778,137.64369133081402,0
1990,7.1,119,16,178.41,2,5.5,74.53916666666667,136.5469736590344,0
2017,7.4,133,1,334.2,6,3.8,382.40250000000003,136.3416155719912,0
1967,7.7,150,1,45.3,6,3.9,24.674999999999997,135.79815138646012,0
2010,7.7,146,4,295.98,3,7.1,279.51800000000003,135.73608553785618,0
2000,7.8,143,4,233.63,3,5.7,129.74625,135.67363530778167,0
2016,5.9,123,4,325.1,6,3.7,82.03166666666667,135.45212511093246,0
1987,6.5,100,16,153.67,6,10.3,67.63933333333333,135.24312431243123,0
1982,7.0,124,16,129.8,5,5.5,49.31285714285715,134.50777202072538,0
2002,6.6,95,1,241.44,2,5.7,241.44,134.22654621264766,0
2010,8.8,148,4,292.58,6,3.8,187.57454545454547,134.17684947180877,0
2018,6.8,143,4,335.06,6,3.7,127.54222222222221,133.43324653981935,0
1998,8.6,169,16,216.54,5,1.5,138.73962962962963,132.83983436429628,0
2012,7.8,143,4,304.36,6,8.54,124.15375,132.56448795282395,0
1988,7.7,104,1,156.45,0,2.2,129.74625,132.2951166232119,0
2004,7.9,142,1,249.36,3,7.1,101.495,132.01800052942733,0
2003,6.8,101,4,242.83,2,7.0,127.26000000000002,132.00271800679502,0
2019,8.4,122,16,335.45,10,8.52,137.317,131.21074458691302,0
1981,7.6,109,4,119.29,5,5.0,119.29,131.19604069287877,0
1982,6.8,99,1,125.05,5,2.5,93.80199999999999,129.58549222797927,0
2009,7.7,100,4,277.32,2,2.9,137.317,129.2644159282548,0
2018,7.7,119,18,324.59,6,2.2,183.41333333333333,129.26370648349535,0
1967,6.8,117,16,43.08,6,8.54,53.39666666666667,129.14314264301768,0
2017,7.9,130,4,315.06,6,2.2,80.2175,128.53318193330807,0
1968,7.6,105,0,44.53,2,2.9,44.53,128.02108289410637,0
2001,6.6,90,4,226.16,6,10.3,113.08800000000001,127.72590361445786,0
2012,5.5,115,4,292.3,3,5.8,102.07857142857142,127.31173553886987,0
1993,7.8,130,1,183.88,6,10.4,67.1,127.28929910585522,0
2002,6.8,106,4,227.97,5,9.5,126.71875,126.7380125086866,0
1986,8.1,120,4,138.53,5,1.5,50.368,126.3863757317722,0
1995,8.3,81,1,191.8,0,2.2,191.8,125.86678333151045,0
1980,6.9,109,0,103.29,2,2.9,103.29,125.33926585094552,0
2000,6.1,123,4,215.41,6,8.54,75.19000000000001,125.09291521486645,0
2011,4.9,117,16,281.29,3,5.8,102.07857142857142,125.05158802194669,0
